City_ID,City,Country,Max Temp,Weather description,Lat,Lng,Hotel Name
3,Hobart,AU,63.05,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
4,Vaini,TO,86.16,few clouds,-21.2,-175.2,Keleti Beach Resort
5,Port Elizabeth,ZA,71.1,broken clouds,-33.918,25.5701,39 On Nile Guest House
7,Hermanus,ZA,65.89,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
8,Avarua,CK,84.25,broken clouds,-21.2078,-159.775,Paradise Inn
9,Dunedin,NZ,59.81,light rain,-45.8742,170.5036,Scenic Hotel Southern Cross
11,San Felipe,VE,70.99,broken clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
12,Codrington,AU,61.81,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
15,Rikitea,PF,78.55,overcast clouds,-23.1203,-134.9692,People ThankYou
16,Mataura,NZ,58.48,light rain,-46.1927,168.8643,Ellie's Villa
18,Port Alfred,ZA,73.29,overcast clouds,-33.5906,26.891,The Halyards Hotel
19,Boyuibe,BO,74.61,scattered clouds,-20.4167,-63.2833,Residencial Eluzai
22,Lahad Datu,MY,82.96,broken clouds,5.0268,118.327,The 27th House
23,New Norfolk,AU,63.91,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
25,Butaritari,KI,81.7,light rain,3.0707,172.7902,Isles Sunset Lodge
26,Yulara,AU,73.24,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
31,Busselton,AU,81.05,broken clouds,-33.65,115.3333,Observatory Guest House
32,Pemba,MZ,77.7,few clouds,-12.974,40.5178,Guesthouse Samotina
33,Paso De Carrasco,UY,76.24,clear sky,-34.8603,-56.0522,Hotel Sofitel Montevideo Casino Carrasco and Spa
35,East London,ZA,73.96,light rain,-33.0153,27.9116,Tu Casa
36,Itoman,JP,73.42,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
38,Hualmay,PE,70.5,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
43,Ponta Do Sol,PT,67.71,overcast clouds,32.6667,-17.1,Hotel do Campo
